No.,Quantity,Comment,Designator,Footprint,Value,LCSC Price (In USD),,
1,5,10K,"R1,R2,R3,R4,R6",R0805,10K,0.0745,,
2,1,1.5k,R7,R0805,1.5k,0.01,,
3,1,10k,R5,R0805,10k,0.01,,
4,2,0,"R8,R9",R0603,0,0.02,,
5,2,0.1uF,"C5,C7",C0805,0.1uF,0.01,,
6,1,1uf,C1,C0603,1uf,0.01,,
7,3,10uF,"C3,C4,C6",C0805,10uF,0.04,,
8,1,100nF,C8,C0805,100nF,0.01,,
9,2,LED_0805-R,"LED3,LED4",L0805,,0.02,,
10,1,AM90,USB1,USB-AM-TH_AM90,,0.25,,
11,1,APA102-2020 SuperLED,U2,LED-SMD_6P-L2.0-W2.0-APA102-2020-SUPERLED,,0.16,,
12,1,ATSAMD21E18A-AU,U1,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,,1.4,,
13,1,ESP-12s,U4,WIRELM-SMD_ESP-12S,,1.7,,
14,1,HT7833,U3,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,,0.16,,
15,1,ZX-PZ1.0-1-6PZZ,Gn +3 Rx Tx Clk Dio,HDR-TH_6P-P1.00-V-F,,0.01,,
16,3,TSA010A2518A,"BOOT,SW1,SW2",SW-SMD_L4.0-W3.0-LS5.0,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
